id,x position,y position,Aperture radius,Total aperture flux,Local mean background per pixel,Total background in aperture,Corrected Aperture flux,Error on corrected flux
1531.0,383.0,710.0,20.0,4303896.0,9401.75000608359,11814587.0,-7510691.0,2291.0833681906906
1532.0,2290.0,742.0,6.0,389950.0,3429.9581257573795,387919.0,2031.0,857.1855108434813
1533.0,1673.0,786.0,14.0,2112883.0,6851.252254300194,4218673.0,-2105790.0,1673.8118173797197
1534.0,125.0,1182.0,6.0,390339.0,3416.201170363874,386363.0,3976.0,856.6055101387102
1535.0,1256.0,1427.0,6.0,397785.0,3517.2944007790575,397796.0,-11.0,866.8229346296739
1536.0,1274.0,1555.0,19.0,3961561.0,9146.017854086744,10372635.0,-6411074.0,2209.3028312116926
1537.0,1374.0,1566.0,6.0,397588.0,3513.8228335828653,397404.0,184.0,866.5079341817939
1538.0,1494.0,1575.0,6.0,396495.0,3505.029522977038,396409.0,86.0,865.3663963894138
1539.0,1767.0,1711.0,19.0,3898968.0,9014.585712644668,10223576.0,-6324608.0,2192.079606218716
1540.0,2224.0,1730.0,6.0,391472.0,3423.969921023547,387241.0,4231.0,857.7219829292006
1541.0,1723.0,1886.0,6.0,392289.0,3431.8182491547664,388129.0,4160.0,858.657673348349
1542.0,995.0,1956.0,6.0,392320.0,3429.231981329523,387837.0,4483.0,858.524315322519
1543.0,2355.0,2043.0,6.0,389399.0,3413.018071502036,386003.0,3396.0,855.8697330785801
1544.0,2229.0,3037.0,6.0,393024.0,3430.714111737066,388004.0,5020.0,859.0209543427914
1545.0,138.0,172.0,6.0,389440.0,3423.104516020485,387144.0,2296.0,856.485843432336
1546.0,1298.0,214.0,6.0,404673.0,3813.4320139533584,431289.0,-26616.0,887.7167340993409
1547.0,1487.0,1225.0,6.0,396973.0,3507.834628849033,396726.0,247.0,865.8054053885319
1548.0,1598.0,1372.0,6.0,398283.0,3522.7454575799547,398413.0,-130.0,867.4260775420578
1549.0,1596.0,1426.0,6.0,398413.0,3523.859542181598,398539.0,-126.0,867.5655594823944
1550.0,1276.0,1512.0,9.0,890495.0,4807.722679368145,1223416.0,-332921.0,1172.100678269576
1551.0,1521.0,1543.0,6.0,398158.0,3522.7056688441817,398408.0,-250.0,867.35171643342
1552.0,1373.0,1614.0,10.0,1095010.0,5223.365760436573,1640968.0,-545958.0,1272.8393457149257
1553.0,381.0,1702.0,6.0,392424.0,3438.9802215939017,388939.0,3485.0,859.1553992148336
1554.0,1824.0,1836.0,6.0,390953.0,3427.2425445408744,387612.0,3341.0,857.6112172773861
1555.0,2256.0,1946.0,13.0,1818244.0,6424.269383536469,3410831.0,-1592587.0,1569.739468829143
1556.0,706.0,2035.0,20.0,4302060.0,9401.551062404726,11814337.0,-7512277.0,2290.67828382774
1557.0,2355.0,2316.0,6.0,391531.0,3424.8850619463255,387345.0,4186.0,857.8100022732307
1558.0,2284.0,2333.0,6.0,402301.0,3612.479003931954,408561.0,-6260.0,874.9097096272278
1559.0,1080.0,2478.0,6.0,390291.0,3421.1648151515524,386924.0,3367.0,856.868718065959
1560.0,2350.0,2682.0,6.0,391636.0,3427.7001150022634,387663.0,3973.0,858.0361297754308
1561.0,977.0,2753.0,6.0,390392.0,3418.0115578415443,386568.0,3824.0,856.7426684833667
1562.0,1214.0,2942.0,20.0,4295037.0,9393.066114501138,11803675.0,-7508638.0,2288.9584967840724
1563.0,559.0,3227.0,20.0,4304389.0,9400.118667916899,11812537.0,-7508148.0,2291.155167159134
1564.0,1843.0,3406.0,6.0,389257.0,3412.0631418434846,385895.0,3362.0,855.7306819321135
1565.0,576.0,3449.0,6.0,402581.0,3709.2651036997127,419508.0,-16927.0,880.6117192043267
1566.0,1943.0,3837.0,6.0,389480.0,3414.4604131738065,386166.0,3314.0,856.001752334655
1567.0,117.0,4202.0,17.0,3103221.0,8098.907641933335,7353162.0,-4249941.0,1979.245310718204
1568.0,852.0,4296.0,6.0,392837.0,3433.9369993346772,388369.0,4468.0,859.1006925849845
1569.0,1640.0,378.0,19.0,3879191.0,8967.276905810602,10169922.0,-6290731.0,2186.4766177574365
1570.0,840.0,481.0,17.0,3106731.0,8118.085812575909,7370574.0,-4263843.0,1980.6185902389182
1571.0,272.0,1062.0,19.0,3881191.0,8970.847944846228,10173972.0,-6292781.0,2187.016003599425
